Liczba zadañ: 50
Liczba przerw: 5
Czas trwania operacji i przerw: 1-400
Liczba instancji: 20

Wielkoœæ populacji: 200
Wspólczynnik mutacji: 1.0
L. kandydatów do turnieju: 30
L. zwyciêzców turnieju: 75
Wspó³czynnik podzia³u: 0.5
Liczba pokoleñ: 100
17799;11536;35,18
18201;11703;35,7
16736;11265;32,69
17808;11755;33,99
17854;11804;33,88
17904;11890;33,59
17242;11593;32,76
17977;11804;34,33
18668;12090;35,23
17248;11445;33,64
18816;12028;36,07
15741;9881;37,22
17116;11389;33,45
17704;12321;30,4
16034;10087;37,08
17256;11226;34,94
17361;11721;32,48
17580;11849;32,59
18172;12306;32,28
18138;12040;33,62
