Liczba zadañ: 100
Liczba przerw: 20
Czas trwania operacji i przerw: 1-20
Liczba instancji: 20

Wielkoœæ populacji: 200
Wspólczynnik mutacji: 1.0
L. kandydatów do turnieju: 30
L. zwyciêzców turnieju: 75
Wspó³czynnik podzia³u: 0.5
Liczba pokoleñ: 100
2141;1453;32,13
1980;1399;29,34
2089;1403;32,83
1927;1377;28,54
2101;1456;30,69
1976;1412;28,54
1988;1379;30,63
2007;1405;29,99
2039;1437;29,52
1917;1390;27,49
1931;1313;32,0
2043;1438;29,61
1983;1351;31,87
1984;1419;28,47
1989;1417;28,75
2011;1406;30,08
2018;1440;28,64
1997;1407;29,54
2048;1461;28,66
1992;1386;30,42
