Liczba zadañ: 100
Liczba przerw: 30
Czas trwania operacji i przerw: 1-20
Liczba instancji: 20

Wielkoœæ populacji: 200
Wspólczynnik mutacji: 1.0
L. kandydatów do turnieju: 30
L. zwyciêzców turnieju: 75
Wspó³czynnik podzia³u: 0.5
Liczba pokoleñ: 100
2151;1519;29,38
2097;1461;30,32
2154;1591;26,13
2187;1556;28,85
2176;1556;28,49
2120;1553;26,74
2069;1445;30,15
2108;1514;28,17
2028;1458;28,1
2139;1524;28,75
2157;1572;27,12
2239;1605;28,31
2089;1481;29,1
2157;1541;28,55
2189;1625;25,76
2121;1489;29,79
2092;1519;27,39
2079;1494;28,13
2144;1537;28,31
2110;1514;28,24
