Liczba zadañ: 50
Liczba przerw: 5
Czas trwania operacji i przerw: 1-100
Liczba instancji: 20

Wielkoœæ populacji: 200
Wspólczynnik mutacji: 1.0
L. kandydatów do turnieju: 30
L. zwyciêzców turnieju: 75
Wspó³czynnik podzia³u: 0.5
Liczba pokoleñ: 100
4485;3169;29,34
4280;2781;35,02
4631;3017;34,85
4389;2968;32,37
4356;2921;32,94
4436;2942;33,67
4369;2911;33,37
4373;3012;31,12
4376;2993;31,6
4464;3029;32,14
4588;3209;30,05
4717;3146;33,3
4592;3110;32,27
4195;2703;35,56
4772;3242;32,06
4295;2842;33,83
4469;2958;33,81
4269;2782;34,83
4618;3047;34,01
4429;3274;26,07
